timestamp,pose_error,rotation_error_deg
1403636580.9135551,2.769064148607951,114.37649562304433
1403636581.4135551,2.7727378396612394,107.00910963077762
1403636581.9135551,2.7869032063589505,111.31514790295194
1403636582.4135551,2.8104580493631963,115.84026346276923
1403636582.9135551,2.7865145734077728,110.85355954797497
1403636583.4135551,2.7847130260145283,109.49675554436834
1403636583.9135551,2.8109318528232436,117.02055616018997
1403636584.4135551,2.8035235130540856,116.67135230312427
1403636584.9135551,2.7920806940074425,109.10986105415148
1403636585.4135551,2.7829810193372304,111.97422525196004
1403636585.9135551,2.825225376212521,118.38794860063066
1403636586.4135551,2.8668991600387472,130.50056737065648
1403636586.9135551,2.8685337235382544,131.60593482614004
1403636587.4135551,2.8230086851151577,132.4284445358341
1403636587.9135551,2.729365755164348,131.8597171699908
1403636588.4135551,2.6918210669094407,133.63168563017777
1403636588.9135551,2.754456576382294,133.7608194477938
1403636589.4135551,2.8821652369109034,132.51482886516453
1403636589.9135551,3.0195403516137413,132.3943806703986
1403636590.4135551,3.059521783455115,131.1926897031147
1403636590.9135551,2.965821993344174,132.571250815708
1403636591.4135551,2.852444482696344,133.38257714735622
1403636591.9135551,2.8014662624578053,128.1392082734722
1403636592.4135551,2.7613153588263932,132.22453753197735
1403636592.9135551,2.6977789439097544,127.77862708668081
1403636593.4135551,2.948939406626691,127.30522410739462
1403636593.9135551,3.1081153038259695,131.2011041689753
1403636594.4135551,2.971795240687675,134.33617715339847
1403636594.9135551,2.8826688590937,129.1726745218553
1403636595.4135551,3.05873098639178,125.99021843250156
1403636595.9135551,3.1286265049907964,129.32833732495578
1403636596.4135551,3.25733791218433,131.85853948651953
1403636596.9135551,3.370289058844912,130.68981080537296
1403636597.4135551,3.1419555944897204,131.28791734077922
1403636597.9135551,3.100444007874457,125.22247175430589
1403636598.4135551,3.255454724666627,131.81790487833078
1403636598.9135551,3.1329028698989023,122.31036847556106
1403636599.4135551,3.06208544506126,110.116794550494
1403636599.9135551,3.055699592537789,108.49717914459863
1403636600.4135551,3.060951031956807,108.09973278921655
1403636600.9135551,3.0652944181214017,108.2078111712427
1403636601.4135551,3.069899327874805,108.33157934873488
1403636601.9135551,3.0749475986695107,108.43429864903686
1403636602.4135551,3.079662102748043,108.5694766550452
1403636602.9135551,3.0843486270534735,108.69685490446318
1403636603.4135551,3.0894049844046187,108.81727835181445
1403636603.9135551,3.0949276084997064,108.9585012428241
1403636604.4135551,3.099584749797484,109.08172691644624
1403636604.9135551,3.10468773343049,109.2154451165745
1403636605.4135551,3.1099063619527327,109.3431798776145
1403636605.9135551,3.1154516662490934,109.48996247509407
1403636606.4135551,3.1209281184155113,109.63209465369756
1403636606.9135551,3.1262463422636806,109.77375210484996
1403636607.4135551,3.1310518595726964,109.92473792500707
1403636607.9135551,3.136243665138841,110.07224272711557
1403636608.4135551,3.1417243397307084,110.2201551572959
1403636608.9135551,3.146870500229695,110.37026519581931
1403636609.4135551,3.1521746236995476,110.51752219527577
1403636609.9135551,3.1578314057029675,110.67250819075224
1403636610.4135551,3.1624889542402252,110.83420808385738
1403636610.9135551,3.1685240684221583,111.01640255591386
1403636611.4135551,3.174381395555745,111.13708987064143
1403636611.9135551,3.1792373303472714,111.3018528621607
1403636612.4135551,3.1850871833734047,111.48477315044975
1403636612.9135551,3.1900529730399185,111.71844514182605
1403636613.4135551,3.1945026237650294,111.85730799857443
1403636613.9135551,3.1999055064616364,112.00488277319693
1403636614.4135551,3.204403988264981,112.16803787047697
